num1,num2,num3,num4,num5,Sum
71,96,89,22,65,343
80,38,34,77,79,308
57,54,14,86,99,310
42,81,91,37,48,299
88,27,58,47,30,250
30,1,33,65,29,158
29,59,5,19,85,197
11,41,99,47,4,202
45,74,14,27,36,196
13,25,15,62,78,193
17,27,26,59,17,146
9,73,70,26,63,241
33,74,29,91,45,272
42,4,34,59,76,215
47,86,24,29,8,194
13,65,11,90,54,233
90,89,74,44,59,356
96,76,34,49,46,301
15,93,31,31,22,192
81,17,13,65,7,183
88,66,81,77,38,350
85,69,69,47,33,303
42,23,80,42,74,261
47,33,71,3,51,205
57,33,32,95,38,255
21,94,8,63,85,271
51,90,98,15,90,344
24,61,27,46,65,223
6,95,75,83,43,302
5,49,42,76,75,247
39,59,33,24,63,218
18,44,88,7,75,232
74,33,96,34,62,299
60,96,100,11,53,320
51,20,5,5,48,129
64,62,6,13,78,223
12,3,100,83,65,263
50,66,34,67,3,220
19,79,44,80,93,315
31,82,37,92,13,255
98,28,47,91,30,294
52,81,56,88,4,281
60,43,75,13,57,248
16,80,97,9,61,263
42,68,56,67,8,241
57,25,58,81,68,289
55,7,18,91,9,180
48,66,45,35,62,256
65,32,67,47,84,295
68,13,35,17,69,202
91,68,12,15,98,284
45,65,47,80,8,245
100,62,45,16,27,250
91,55,39,83,34,302
81,56,78,17,68,300
81,49,97,90,91,408
48,18,30,3,4,103
51,3,84,100,20,258
28,69,21,63,60,241
35,33,27,91,5,191
61,76,73,95,67,372
52,90,46,98,48,334
23,68,73,52,31,247
86,12,40,66,93,297
98,91,61,28,13,291
73,99,53,30,92,347
92,66,64,37,21,280
95,25,59,80,26,285
17,24,22,57,4,124
10,2,40,2,24,78
37,59,99,44,64,303
13,88,46,34,93,274
42,31,94,78,14,259
40,4,83,12,18,157
89,47,59,31,47,273
84,17,72,31,48,252
75,97,81,17,50,320
67,98,87,47,3,302
37,58,37,2,93,227
15,50,86,85,9,245
20,29,63,1,46,159
94,50,40,21,52,257
29,45,65,9,47,195
32,95,26,92,19,264
